refseq_chromosomes	status	group	modify_date	refseq_plasmids	release_date	genes	proteins	gc_percent	center	taxon_id	insdc_chromosomes	wgs	bioproject_accession	bioproject_id	subgroup	organism	insdc_plasmids	scaffolds	size
[]	COMPLETE		2010-03-26 00:00:00	[]	2000-06-07 00:00:00					820	[]		PRJNA13130	13130		Bacteroides uniformis	[]		
[]	COMPLETE		2008-06-09 00:00:00	[]	1994-08-26 00:00:00					1351	[]		PRJNA13131	13131		Enterococcus faecalis	[]		
[]	COMPLETE		2011-11-21 00:00:00	[]	2011-07-06 00:00:00					326426	[]		PRJNA13487	13487		Bifidobacterium breve UCC2003	[]		
[]	COMPLETE		2010-02-22 00:00:00	[]	2005-04-17 00:00:00					632772	[]		PRJNA13791	13791		Rhodococcus opacus B4	[]		
[]	COMPLETE		2011-11-29 00:00:00	[]	2003-03-10 00:00:00					545693	[]		PRJNA15862	15862		Bacillus megaterium QM B1551	[]		
[]	COMPLETE		2009-08-21 00:00:00	[]	2009-08-21 00:00:00					436113	[]		PRJNA19245	19245		Mycoplasma mycoides subsp. capri str. GM12	[]		
[]	COMPLETE		2010-08-04 00:00:00	[]	2010-07-26 00:00:00					865867	[]		PRJNA27713	27713		Mycoplasma mycoides subsp. mycoides SC str. Gladysdale	[]		
[]	COMPLETE		2009-06-03 00:00:00	[]	2009-06-03 00:00:00					496833	[]		PRJDA28473	28473		Mycoplasma fermentans PG18	[]		
[]	COMPLETE		2010-05-27 00:00:00	[]	2008-10-17 00:00:00					393011	[]		PRJNA32025	32025		Francisella tularensis subsp. holarctica OSU18	[]		
[]	COMPLETE		2011-11-14 00:00:00	[]	2009-07-07 00:00:00					218494	[]		PRJEA32235	32235		Streptococcus suis P1/7	[]		
[]	COMPLETE		2010-09-01 00:00:00	[]	2010-03-25 00:00:00					645657	[]		PRJDA38027	38027		Bacillus subtilis subsp. natto BEST195	[]		
[]	COMPLETE		2010-03-25 00:00:00	[]	2010-03-25 00:00:00					831	[]		PRJNA39147	39147		Butyrivibrio fibrisolvens	[]		
[]	COMPLETE		2010-03-25 00:00:00	[]	2010-03-25 00:00:00					41978	[]		PRJNA39149	39149		Ruminococcus sp.	[]		
[]	COMPLETE		2010-03-25 00:00:00	[]	2010-03-25 00:00:00					853	[]		PRJNA39151	39151		Faecalibacterium prausnitzii	[]		
[]	COMPLETE		2010-03-25 00:00:00	[]	2010-03-25 00:00:00					40518	[]		PRJNA39153	39153		Ruminococcus bromii	[]		
[]	COMPLETE		2010-07-05 00:00:00	[]	2010-03-25 00:00:00					245014	[]		PRJNA39155	39155		butyrate-producing bacterium SS3/4	[]		
[]	COMPLETE		2010-03-25 00:00:00	[]	2010-03-25 00:00:00					39492	[]		PRJNA39157	39157		Eubacterium siraeum	[]		
[]	COMPLETE		2010-05-21 00:00:00	[]	2010-03-25 00:00:00					39491	[]		PRJNA39159	39159		Eubacterium rectale	[]		
[]	COMPLETE		2010-03-25 00:00:00	[]	2010-03-25 00:00:00					39491	[]		PRJNA39161	39161		Eubacterium rectale	[]		
[]	COMPLETE		2010-03-25 00:00:00	[]	2010-03-25 00:00:00					158847	[]		PRJNA39163	39163		Megamonas hypermegale	[]		
[]	COMPLETE		2010-03-25 00:00:00	[]	2010-03-25 00:00:00					166486	[]		PRJNA39165	39165		Roseburia intestinalis	[]		
[]	COMPLETE		2010-03-25 00:00:00	[]	2010-03-25 00:00:00					40520	[]		PRJNA39167	39167		[Ruminococcus] obeum	[]		
[]	COMPLETE		2010-03-25 00:00:00	[]	2010-03-25 00:00:00					33039	[]		PRJNA39169	39169		[Ruminococcus] torques	[]		
[]	COMPLETE		2010-05-21 00:00:00	[]	2010-03-25 00:00:00					657308	[]		PRJNA39175	39175		Gordonibacter pamelaeae 7-10-1-b	[]		
[]	COMPLETE		2010-05-21 00:00:00	[]	2010-03-25 00:00:00					657309	[]		PRJNA39177	39177		Bacteroides xylanisolvens XB1A	[]		
[]	COMPLETE		2012-03-22 00:00:00	[]	2010-03-25 00:00:00					213810	[]		PRJNA39179	39179		Ruminococcus champanellensis 18P13	[]		
[]	COMPLETE		2010-03-25 00:00:00	[]	2010-03-25 00:00:00					657310	[]		PRJNA39181	39181		Enterococcus sp. 7L76	[]		
[]	COMPLETE		2009-09-02 00:00:00	[]	2009-08-21 00:00:00					436113	[]		PRJNA39245	39245		Mycoplasma mycoides subsp. capri str. GM12	[]		
[]	COMPLETE		2010-06-28 00:00:00	[]	2009-03-12 00:00:00					634499	[]		PRJNA40659	40659		Erwinia pyrifoliae Ep1/96	[]		
[]	COMPLETE		2010-12-16 00:00:00	[]	2009-10-02 00:00:00					693216	[]		PRJNA40821	40821		Cronobacter turicensis z3032	[]		
[]	COMPLETE		2011-11-16 00:00:00	[]	2011-01-25 00:00:00					591167	[]		PRJNA40839	40839		Streptomyces flavogriseus ATCC 33331	[]		
[]	COMPLETE		2011-11-21 00:00:00	[]	2009-11-19 00:00:00					446469	[]		PRJNA40845	40845		Sanguibacter keddieii DSM 10542	[]		
[]	COMPLETE		2011-11-21 00:00:00	[]	2011-06-14 00:00:00					536019	[]		PRJNA40861	40861		Mesorhizobium opportunistum WSM2075	[]		
[]	COMPLETE		2012-02-14 00:00:00	[]	2010-02-16 00:00:00					589924	[]		PRJNA40863	40863		Ferroglobus placidus DSM 10642	[]		
[]	COMPLETE		2012-07-12 00:00:00	[]	2009-10-01 00:00:00					645463	[]		PRJNA40921	40921		Clostridium difficile R20291	[]		
[]	COMPLETE		2011-10-11 00:00:00	[]	2009-09-10 00:00:00					585395	[]		PRJNA41013	41013		Escherichia coli O103:H2 str. 12009	[]		
[]	COMPLETE		2012-07-12 00:00:00	[]	2009-10-01 00:00:00					645462	[]		PRJNA41017	41017		Clostridium difficile CD196	[]		
[]	COMPLETE		2011-03-29 00:00:00	[]	2009-09-15 00:00:00					622759	[]		PRJNA41019	41019		Zymomonas mobilis subsp. mobilis NCIMB 11163	[]		
[]	COMPLETE		2010-09-30 00:00:00	[]	2009-09-10 00:00:00					573235	[]		PRJNA41021	41021		Escherichia coli O26:H11 str. 11368	[]		
[]	COMPLETE		2011-10-11 00:00:00	[]	2009-09-10 00:00:00					585396	[]		PRJNA41023	41023		Escherichia coli O111:H- str. 11128	[]		
[]	COMPLETE		2011-10-11 00:00:00	[]	2009-10-08 00:00:00					429009	[]		PRJNA41053	41053		Ammonifex degensii KC4	[]		
[]	COMPLETE		2011-11-21 00:00:00	[]	2009-10-14 00:00:00					481743	[]		PRJNA41127	41127		Paenibacillus sp. Y412MC10	[]		
